rating,date,content,cleaned_content,month,season,tokens,review_length,topic_id
5,2025-07-18,"매달 4,5박스씩 시켜놓고 먹어요
큰거 먹는거보다 작은거로 여러개 먹는게 금방 시원하고 좋네요

가끔 이상하게 아래쪽이 부풀어 오거나 주댕이가 찌그러진것만 신경써주시면 좋을것같아요",매달 45박스씩 시켜놓고 먹어요 큰거 먹는거보다 작은거로 여러개 먹는게 금방 시원하고 좋네요 가끔 이상하게 아래쪽이 부풀어 오거나 주댕이가 찌그러진것만 신경써주시면 좋을것같아요,7,Summer,매달 45박스씩 시켜놓고 먹어요 큰거 먹는거보다 작은거로 여러개 먹는게 금방 시원하고 좋네요 가끔 이상하게 아래쪽이 부풀어 오거나 주댕이가 찌그러진것만 신경써주시면 좋을것같아요,98,1(좋아요_맛있어요_먹기)
5,2025-06-26,"좋아하는 콜라입니다.
자주는 아니지만 건강 생각해서 자제해서 마시고 있습니다.",좋아하는 콜라입니다 자주는 아니지만 건강 생각해서 자제해서 마시고 있습니다,6,Summer,좋아하는 콜라입니다 자주는 아니지만 건강 생각해서 자제해서 마시고 있습니다,41,0(항상_제품입니다_구매하는)
5,2026-01-20,저렴한 가격에 구입했습니다,저렴한 가격에 구입했습니다,1,Winter,저렴한 가격에 구입했습니다,14,0(항상_제품입니다_구매하는)
5,2026-01-17,마시따요마시따 맨날머거요 몇박스씩 사욤,마시따요마시따 맨날머거요 몇박스씩 사욤,1,Winter,마시따요마시따 맨날머거요 몇박스씩 사욤,21,0(항상_제품입니다_구매하는)
5,2026-01-10,제품이 좋은 것 같습니다.,제품이 좋은 것 같습니다,1,Winter,제품이 좋은 것 같습니다,13,0(항상_제품입니다_구매하는)
5,2026-01-07,늘 구매하는 제품입니다.,늘 구매하는 제품입니다,1,Winter,늘 구매하는 제품입니다,12,0(항상_제품입니다_구매하는)
5,2025-09-28,잘먹었습니다 좋은제품입니다,잘먹었습니다 좋은제품입니다,9,Fall,잘먹었습니다 좋은제품입니다,14,0(항상_제품입니다_구매하는)
5,2025-08-24,완전 저렴하게 구매했어요~~~,완전 저렴하게 구매했어요,8,Summer,완전 저렴하게 구매했어요,13,2(저렴하게_감사합니다_빠르고)
5,2026-01-14,최고예요!,최고예요,1,Winter,최고예요,4,0(항상_제품입니다_구매하는)
5,2025-12-11,항상 먹던거 맛있어요~~~~,항상 먹던거 맛있어요,12,Winter,항상 먹던거 맛있어요,11,0(항상_제품입니다_구매하는)
5,2025-11-25,배송빠르고 만족합니다. 번창하세요,배송빠르고 만족합니다 번창하세요,11,Fall,배송빠르고 만족합니다 번창하세요,17,2(저렴하게_감사합니다_빠르고)
5,2025-11-11,용량이 넉넉해서 좋아요,용량이 넉넉해서 좋아요,11,Fall,용량이 넉넉해서 좋아요,12,1(좋아요_맛있어요_먹기)
5,2025-11-03,좋아여 ! 좋아요 ~   !!,좋아여 좋아요,11,Fall,좋아여 좋아요,7,1(좋아요_맛있어요_먹기)
5,2025-11-01,쟁여두고 먹습니다. 배달 빨리 해주셨어요,쟁여두고 먹습니다 배달 빨리 해주셨어요,11,Fall,쟁여두고 먹습니다 배달 빨리 해주셨어요,21,0(항상_제품입니다_구매하는)
5,2025-10-30,"코카콜라 ~ 
탄산은 포기 못하고 탄산수는 어려운 이들에게 적합한 코크 제로 ~~",코카콜라 탄산은 포기 못하고 탄산수는 어려운 이들에게 적합한 코크 제로,10,Fall,코카콜라 탄산은 포기 못하고 탄산수는 어려운 이들에게 적합한 코크 제로,39,1(좋아요_맛있어요_먹기)
5,2025-10-29,역시 뭐니뭐니해도 빠른배송에 항상 잘시키고있습니다.,역시 뭐니뭐니해도 빠른배송에 항상 잘시키고있습니다,10,Fall,역시 뭐니뭐니해도 빠른배송에 항상 잘시키고있습니다,27,2(저렴하게_감사합니다_빠르고)
5,2025-10-17,늘 주문해서 사용하는 제품입니다. 배송 감사합니다!,늘 주문해서 사용하는 제품입니다 배송 감사합니다,10,Fall,늘 주문해서 사용하는 제품입니다 배송 감사합니다,26,2(저렴하게_감사합니다_빠르고)
5,2025-10-10,자주 주문해서 활용하는 식음료입니다. 배송 감사합니다!,자주 주문해서 활용하는 식음료입니다 배송 감사합니다,10,Fall,자주 주문해서 활용하는 식음료입니다 배송 감사합니다,28,2(저렴하게_감사합니다_빠르고)
5,2025-09-26,주문하고 다음날 바로 받았어요.쿠폰행사가로 타사이트와 비교할 수 없는 저렴한 가격으로 구매했구요.,주문하고 다음날 바로 받았어요쿠폰행사가로 타사이트와 비교할 수 없는 저렴한 가격으로 구매했구요,9,Fall,주문하고 다음날 바로 받았어요쿠폰행사가로 타사이트와 비교할 수 없는 저렴한 가격으로 구매했구요,52,0(항상_제품입니다_구매하는)
5,2023-12-20,"잘 받았습니다! 한동안 코크제로를 자주 먹다가 집에 놓는 음료를 다른걸로 갈아탔었는데, 역시 콜라가 있어야 웬만한 음식을 먹을 때 잘 어울려서(술 제외..) 구비해두려고 샀어요~ 저렴하게 구입해서 만족합니다.",잘 받았습니다 한동안 코크제로를 자주 먹다가 집에 놓는 음료를 다른걸로 갈아탔었는데 역시 콜라가 있어야 웬만한 음식을 먹을 때 잘 어울려서술 제외 구비해두려고 샀어요 저렴하게 구입해서 만족합니다,12,Winter,잘 받았습니다 한동안 코크제로를 자주 먹다가 집에 놓는 음료를 다른걸로 갈아탔었는데 역시 콜라가 있어야 웬만한 음식을 먹을 때 잘 어울려서술 제외 구비해두려고 샀어요 저렴하게 구입해서 만족합니다,108,2(저렴하게_감사합니다_빠르고)
5,2025-09-29,중간사이즈 마시다 조금이나마 덜 마실라고 작은 사이즈로 …,중간사이즈 마시다 조금이나마 덜 마실라고 작은 사이즈로,9,Fall,중간사이즈 마시다 조금이나마 덜 마실라고 작은 사이즈로,30,1(좋아요_맛있어요_먹기)
5,2025-09-27,이벤트로 저렴하개 구매해ㅛ어요,이벤트로 저렴하개 구매해어요,9,Fall,이벤트로 저렴하개 구매해어요,15,0(항상_제품입니다_구매하는)
5,2025-09-26,크기도 적당하니 즇아요,크기도 적당하니 즇아요,9,Fall,크기도 적당하니 즇아요,12,0(항상_제품입니다_구매하는)
5,2025-09-10,"또사야지.
넘조아유
왕추천",또사야지 넘조아유 왕추천,9,Fall,또사야지 넘조아유 왕추천,13,0(항상_제품입니다_구매하는)
5,2025-09-02,빠른 배송 감사합니다.,빠른 배송 감사합니다,9,Fall,빠른 배송 감사합니다,11,0(항상_제품입니다_구매하는)
5,2025-09-01,whdkdy 좋아요 ~ ! ㅎㅎ,whdkdy 좋아요,9,Fall,whdkdy 좋아요,10,1(좋아요_맛있어요_먹기)
5,2025-08-29,코카코라 제로가 젤 나은듯!!,코카코라 제로가 젤 나은듯,8,Summer,코카코라 제로가 젤 나은듯,14,0(항상_제품입니다_구매하는)
5,2025-08-28,제로콜라의 신세계를 느낄수 있는 제품입니다.  퀄리티 만점!!!,제로콜라의 신세계를 느낄수 있는 제품입니다 퀄리티 만점,8,Summer,제로콜라의 신세계를 느낄수 있는 제품입니다 퀄리티 만점,30,0(항상_제품입니다_구매하는)
5,2025-08-28,역시나 맛나고 좋습니다. 재주문 두 번이나 했어요,역시나 맛나고 좋습니다 재주문 두 번이나 했어요,8,Summer,역시나 맛나고 좋습니다 재주문 두 번이나 했어요,26,2(저렴하게_감사합니다_빠르고)
5,2025-08-19,잘 받았습니다  가성비 있네요 굿,잘 받았습니다 가성비 있네요 굿,8,Summer,잘 받았습니다 가성비 있네요 굿,17,0(항상_제품입니다_구매하는)
5,2025-08-16,좋아하는 제품을 저렴하게 잘 구매했습니다. 배송도 빨라요..,좋아하는 제품을 저렴하게 잘 구매했습니다 배송도 빨라요,8,Summer,좋아하는 제품을 저렴하게 잘 구매했습니다 배송도 빨라요,30,2(저렴하게_감사합니다_빠르고)
5,2025-08-10,항상 잘 시켜먹고 있어요!,항상 잘 시켜먹고 있어요,8,Summer,항상 잘 시켜먹고 있어요,13,0(항상_제품입니다_구매하는)
5,2025-07-24,찌그러진 캔 없이 온전히 잘 도착했어요. 감사합니다.,찌그러진 캔 없이 온전히 잘 도착했어요 감사합니다,7,Summer,찌그러진 캔 없이 온전히 잘 도착했어요 감사합니다,27,2(저렴하게_감사합니다_빠르고)
5,2025-07-09,이 더운날 무조건 필수적인 콜라 제로,이 더운날 무조건 필수적인 콜라 제로,7,Summer,이 더운날 무조건 필수적인 콜라 제로,20,1(좋아요_맛있어요_먹기)
5,2025-07-09,날이 더워지니 종종 먹게되네요,날이 더워지니 종종 먹게되네요,7,Summer,날이 더워지니 종종 먹게되네요,16,0(항상_제품입니다_구매하는)
5,2025-06-02,"잘 구매했습니다.
배송도 만족하고, 제품상태도 만족합니다.
다음에도 재구매의사 있습니다~ 감사합니다.",잘 구매했습니다 배송도 만족하고 제품상태도 만족합니다 다음에도 재구매의사 있습니다 감사합니다,6,Summer,잘 구매했습니다 배송도 만족하고 제품상태도 만족합니다 다음에도 재구매의사 있습니다 감사합니다,51,2(저렴하게_감사합니다_빠르고)
5,2025-02-22,탕비실 인기상품! 너무 맛있어요.,탕비실 인기상품 너무 맛있어요,2,Winter,탕비실 인기상품 너무 맛있어요,16,1(좋아요_맛있어요_먹기)
5,2025-02-15,단골로 잘 마시는중 입니다. 코카제로는 사랑입니다,단골로 잘 마시는중 입니다 코카제로는 사랑입니다,2,Winter,단골로 잘 마시는중 입니다 코카제로는 사랑입니다,26,1(좋아요_맛있어요_먹기)
5,2025-01-06,사이즈가 한번에 딱 먹기 좋아요. 제로라 부담없이 마십니다.,사이즈가 한번에 딱 먹기 좋아요 제로라 부담없이 마십니다,1,Winter,사이즈가 한번에 딱 먹기 좋아요 제로라 부담없이 마십니다,31,1(좋아요_맛있어요_먹기)
5,2024-01-18,코크제로 잘 먹겠습니다. 배송 빨랐습니다.,코크제로 잘 먹겠습니다 배송 빨랐습니다,1,Winter,코크제로 잘 먹겠습니다 배송 빨랐습니다,21,0(항상_제품입니다_구매하는)
5,2025-06-18,항상 재구매하고있어요,항상 재구매하고있어요,6,Summer,항상 재구매하고있어요,11,0(항상_제품입니다_구매하는)
5,2025-06-04,배송도 빠르고 안전하게 잘 받았어요! 구매하셔도 좋을 것 같습니다.,배송도 빠르고 안전하게 잘 받았어요 구매하셔도 좋을 것 같습니다,6,Summer,배송도 빠르고 안전하게 잘 받았어요 구매하셔도 좋을 것 같습니다,35,2(저렴하게_감사합니다_빠르고)
5,2025-05-31,믿고 사는 훌륭한 제품,믿고 사는 훌륭한 제품,5,Spring,믿고 사는 훌륭한 제품,12,1(좋아요_맛있어요_먹기)
5,2025-05-30,양많고 가격도 나쁘지 않아요,양많고 가격도 나쁘지 않아요,5,Spring,양많고 가격도 나쁘지 않아요,15,2(저렴하게_감사합니다_빠르고)
5,2025-05-16,꼼꼼하게 잘 포장되어 왔네요,꼼꼼하게 잘 포장되어 왔네요,5,Spring,꼼꼼하게 잘 포장되어 왔네요,15,0(항상_제품입니다_구매하는)
5,2025-05-12,배송이 빨라요~ 항상 주문하는 상품이에요!,배송이 빨라요 항상 주문하는 상품이에요,5,Spring,배송이 빨라요 항상 주문하는 상품이에요,21,0(항상_제품입니다_구매하는)
5,2025-05-04,작고 앙증맞고 맛있는 콜라를 남김없이 마실 수 있어 좋아요.,작고 앙증맞고 맛있는 콜라를 남김없이 마실 수 있어 좋아요,5,Spring,작고 앙증맞고 맛있는 콜라를 남김없이 마실 수 있어 좋아요,32,1(좋아요_맛있어요_먹기)
5,2025-04-17,자주 구매하고있어요~,자주 구매하고있어요,4,Spring,자주 구매하고있어요,10,2(저렴하게_감사합니다_빠르고)
5,2025-04-16,배송도 빠르고 좋아욤!,배송도 빠르고 좋아욤,4,Spring,배송도 빠르고 좋아욤,11,2(저렴하게_감사합니다_빠르고)
5,2025-04-10,"싼 가격, 좋은 품질, 빠른 배송",싼 가격 좋은 품질 빠른 배송,4,Spring,싼 가격 좋은 품질 빠른 배송,16,0(항상_제품입니다_구매하는)
5,2025-04-01,콜라는 제로콜라로 계속구매,콜라는 제로콜라로 계속구매,4,Spring,콜라는 제로콜라로 계속구매,14,1(좋아요_맛있어요_먹기)
4,2025-08-31,할인쿠폰 사용했습니다,할인쿠폰 사용했습니다,8,Summer,할인쿠폰 사용했습니다,11,0(항상_제품입니다_구매하는)
4,2025-08-04,일할때. 사무실에서 잘 먹고 있습니다,일할때 사무실에서 잘 먹고 있습니다,8,Summer,일할때 사무실에서 잘 먹고 있습니다,19,2(저렴하게_감사합니다_빠르고)
5,2025-03-28,빠르고 꼼꼼하게 포장되어 배송됐습니다~,빠르고 꼼꼼하게 포장되어 배송됐습니다,3,Spring,빠르고 꼼꼼하게 포장되어 배송됐습니다,20,0(항상_제품입니다_구매하는)
5,2025-03-19,소화안될때 용량이 적어서 먹기 좋아요~,소화안될때 용량이 적어서 먹기 좋아요,3,Spring,소화안될때 용량이 적어서 먹기 좋아요,20,1(좋아요_맛있어요_먹기)
5,2025-03-19,늘 구매하는 상품입니다. 배송이빨라요 만족합니다!,늘 구매하는 상품입니다 배송이빨라요 만족합니다,3,Spring,늘 구매하는 상품입니다 배송이빨라요 만족합니다,25,2(저렴하게_감사합니다_빠르고)
5,2025-03-15,항상 애용하는 제품,항상 애용하는 제품,3,Spring,항상 애용하는 제품,10,0(항상_제품입니다_구매하는)
5,2025-03-13,빠른배송 좋은품질 로켓배송이니뭐니하며 2만원 채워야하는 쿠팡보다 낫다,빠른배송 좋은품질 로켓배송이니뭐니하며 2만원 채워야하는 쿠팡보다 낫다,3,Spring,빠른배송 좋은품질 로켓배송이니뭐니하며 2만원 채워야하는 쿠팡보다 낫다,38,1(좋아요_맛있어요_먹기)
5,2025-03-13,제로라서 맘 편히 사요,제로라서 맘 편히 사요,3,Spring,제로라서 맘 편히 사요,12,2(저렴하게_감사합니다_빠르고)
5,2025-02-21,역시 근본 제품입니다. 좋아요,역시 근본 제품입니다 좋아요,2,Winter,역시 근본 제품입니다 좋아요,15,1(좋아요_맛있어요_먹기)
5,2025-02-15,저렴하게 잘 구매했어요!,저렴하게 잘 구매했어요,2,Winter,저렴하게 잘 구매했어요,12,2(저렴하게_감사합니다_빠르고)
5,2025-02-13,항상 즐겨 마시는 제로콜라. 사이즈도 적당하고 굿,항상 즐겨 마시는 제로콜라 사이즈도 적당하고 굿,2,Winter,항상 즐겨 마시는 제로콜라 사이즈도 적당하고 굿,26,0(항상_제품입니다_구매하는)
5,2025-02-12,"배송도 빠르고 제품도 만족합니다.
재구매 의사 있습니다~!
빠른 배송 감사드립니다.",배송도 빠르고 제품도 만족합니다 재구매 의사 있습니다 빠른 배송 감사드립니다,2,Winter,배송도 빠르고 제품도 만족합니다 재구매 의사 있습니다 빠른 배송 감사드립니다,42,2(저렴하게_감사합니다_빠르고)
5,2025-02-10,"잘 받아보았습니다.
자주 주문하는 상품입니다.
재구매의사 있습니다!!
빠른배송 감사드립니다~!",잘 받아보았습니다 자주 주문하는 상품입니다 재구매의사 있습니다 빠른배송 감사드립니다,2,Winter,잘 받아보았습니다 자주 주문하는 상품입니다 재구매의사 있습니다 빠른배송 감사드립니다,46,2(저렴하게_감사합니다_빠르고)
5,2025-01-20,단골 그자체 코카제로 영원히,단골 그자체 코카제로 영원히,1,Winter,단골 그자체 코카제로 영원히,15,0(항상_제품입니다_구매하는)
5,2025-01-20,코카제로는 사랑입니다,코카제로는 사랑입니다,1,Winter,코카제로는 사랑입니다,11,1(좋아요_맛있어요_먹기)
5,2025-01-18,항상 이용하는 제품,항상 이용하는 제품,1,Winter,항상 이용하는 제품,10,0(항상_제품입니다_구매하는)
5,2025-01-12,맛있어요 좋아요 자주애용합니다,맛있어요 좋아요 자주애용합니다,1,Winter,맛있어요 좋아요 자주애용합니다,16,1(좋아요_맛있어요_먹기)
5,2025-01-03,"사무실 간식으로 구입
좋아하는 사람만 좋아함",사무실 간식으로 구입 좋아하는 사람만 좋아함,1,Winter,사무실 간식으로 구입 좋아하는 사람만 좋아함,24,0(항상_제품입니다_구매하는)
5,2025-01-02,"최고의 품질, 빠른 배송, 가성비 good",최고의 품질 빠른 배송 가성비 good,1,Winter,최고의 품질 빠른 배송 가성비 good,21,0(항상_제품입니다_구매하는)
4,2025-06-15,저렴하게 구매했습니다,저렴하게 구매했습니다,6,Summer,저렴하게 구매했습니다,11,2(저렴하게_감사합니다_빠르고)
4,2025-03-12,"190mm용량이  적당한거 같습니다. 큰거 캔으로 먹을때 남길 때도 있었는데, 이 용량 제품은 남기질 않아서 좋습니다.",190mm용량이 적당한거 같습니다 큰거 캔으로 먹을때 남길 때도 있었는데 이 용량 제품은 남기질 않아서 좋습니다,3,Spring,190mm용량이 적당한거 같습니다 큰거 캔으로 먹을때 남길 때도 있었는데 이 용량 제품은 남기질 않아서 좋습니다,62,2(저렴하게_감사합니다_빠르고)
5,2024-12-31,한번에 먹기는 이 용량이 제일이에요,한번에 먹기는 이 용량이 제일이에요,12,Winter,한번에 먹기는 이 용량이 제일이에요,19,1(좋아요_맛있어요_먹기)
5,2024-12-27,포장이 꼼꼼하게 오고 배송도 빨라요 꾸준히 시켜먹고 있어요,포장이 꼼꼼하게 오고 배송도 빨라요 꾸준히 시켜먹고 있어요,12,Winter,포장이 꼼꼼하게 오고 배송도 빨라요 꾸준히 시켜먹고 있어요,32,0(항상_제품입니다_구매하는)
5,2024-12-26,항상 세일할때 쟁겨요~,항상 세일할때 쟁겨요,12,Winter,항상 세일할때 쟁겨요,11,0(항상_제품입니다_구매하는)
5,2024-12-24,전 별로인데 아이들이 좋아해서 자주 먹어요.,전 별로인데 아이들이 좋아해서 자주 먹어요,12,Winter,전 별로인데 아이들이 좋아해서 자주 먹어요,23,2(저렴하게_감사합니다_빠르고)
5,2024-12-18,배송 빠르고 가격도 괜찮아요,배송 빠르고 가격도 괜찮아요,12,Winter,배송 빠르고 가격도 괜찮아요,15,2(저렴하게_감사합니다_빠르고)
5,2024-12-10,양이 적어서 하나씩 먹기 좋아요,양이 적어서 하나씩 먹기 좋아요,12,Winter,양이 적어서 하나씩 먹기 좋아요,17,1(좋아요_맛있어요_먹기)
5,2024-12-06,"배송도 빠르고 만족합니다.
재구매의사 있습니다~!!",배송도 빠르고 만족합니다 재구매의사 있습니다,12,Winter,배송도 빠르고 만족합니다 재구매의사 있습니다,24,2(저렴하게_감사합니다_빠르고)
5,2024-11-22,"빠른 배송, 최고의 품질, 꾸준한 구매, 쿠팡보다싸다",빠른 배송 최고의 품질 꾸준한 구매 쿠팡보다싸다,11,Fall,빠른 배송 최고의 품질 꾸준한 구매 쿠팡보다싸다,26,0(항상_제품입니다_구매하는)
5,2024-11-16,빠른 배송에 꼼꼼한 포장! 저렴하게 구매했습니다,빠른 배송에 꼼꼼한 포장 저렴하게 구매했습니다,11,Fall,빠른 배송에 꼼꼼한 포장 저렴하게 구매했습니다,25,0(항상_제품입니다_구매하는)
5,2024-11-14,가성비 좋고 항상 주문합니다.,가성비 좋고 항상 주문합니다,11,Fall,가성비 좋고 항상 주문합니다,15,0(항상_제품입니다_구매하는)
5,2024-11-13,"가성비 최고, 싸고 좋다. 빠른 배송",가성비 최고 싸고 좋다 빠른 배송,11,Fall,가성비 최고 싸고 좋다 빠른 배송,18,0(항상_제품입니다_구매하는)
5,2024-11-13,배송이 빨라요! 항상 구매하는 제품입니다~ 감사합니다.,배송이 빨라요 항상 구매하는 제품입니다 감사합니다,11,Fall,배송이 빨라요 항상 구매하는 제품입니다 감사합니다,27,0(항상_제품입니다_구매하는)
5,2024-11-08,항상 구매하는 제품이예요.,항상 구매하는 제품이예요,11,Fall,항상 구매하는 제품이예요,13,0(항상_제품입니다_구매하는)
5,2024-10-31,늘 준비해서 먹는 음료입니다,늘 준비해서 먹는 음료입니다,10,Fall,늘 준비해서 먹는 음료입니다,15,0(항상_제품입니다_구매하는)
5,2024-10-30,항상 주문함 단골입니다,항상 주문함 단골입니다,10,Fall,항상 주문함 단골입니다,12,0(항상_제품입니다_구매하는)
5,2024-10-28,사진이랑 동일하며 배송이 빠릅니다.,사진이랑 동일하며 배송이 빠릅니다,10,Fall,사진이랑 동일하며 배송이 빠릅니다,18,0(항상_제품입니다_구매하는)
5,2024-10-24,"190ml가 한번에 먹기 딱 좋습니다.
역시 믿고 먹는 제콜",190ml가 한번에 먹기 딱 좋습니다 역시 믿고 먹는 제콜,10,Fall,190ml가 한번에 먹기 딱 좋습니다 역시 믿고 먹는 제콜,32,1(좋아요_맛있어요_먹기)
5,2024-10-21,"코카콜라 제로 맛있어요
행사가로 득템했습니다",코카콜라 제로 맛있어요 행사가로 득템했습니다,10,Fall,코카콜라 제로 맛있어요 행사가로 득템했습니다,24,1(좋아요_맛있어요_먹기)
5,2024-10-17,저렴하게 구매했습니다. 배송 감사합니다!,저렴하게 구매했습니다 배송 감사합니다,10,Fall,저렴하게 구매했습니다 배송 감사합니다,20,2(저렴하게_감사합니다_빠르고)
5,2024-10-17,배송이빨라요 자주 구매하는 상품입니다. 추천해요~,배송이빨라요 자주 구매하는 상품입니다 추천해요,10,Fall,배송이빨라요 자주 구매하는 상품입니다 추천해요,25,2(저렴하게_감사합니다_빠르고)
5,2024-10-16,[코카콜라직영]코카콜라 제로 190ml*30입,코카콜라직영코카콜라 제로 190ml30입,10,Fall,코카콜라직영코카콜라 제로 190ml30입,22,1(좋아요_맛있어요_먹기)
