rating,date,content
5,2025.07.18,"매달 4,5박스씩 시켜놓고 먹어요
큰거 먹는거보다 작은거로 여러개 먹는게 금방 시원하고 좋네요

가끔 이상하게 아래쪽이 부풀어 오거나 주댕이가 찌그러진것만 신경써주시면 좋을것같아요"
5,2025.06.26,"좋아하는 콜라입니다.
자주는 아니지만 건강 생각해서 자제해서 마시고 있습니다."
5,2026.01.20,저렴한 가격에 구입했습니다
5,2026.01.17,마시따요마시따 맨날머거요 몇박스씩 사욤
5,2026.01.10,제품이 좋은 것 같습니다.
5,2026.01.07,늘 구매하는 제품입니다.
5,2025.09.28,잘먹었습니다 좋은제품입니다
5,2025.08.24,완전 저렴하게 구매했어요~~~
5,2026.01.14,최고예요!
5,2025.12.11,항상 먹던거 맛있어요~~~~
5,2025.12.03,저렴한 가격에 구입했습니다
5,2025.11.25,배송빠르고 만족합니다. 번창하세요
5,2025.11.11,용량이 넉넉해서 좋아요
5,2025.11.03,좋아여 ! 좋아요 ~   !!
5,2025.11.01,쟁여두고 먹습니다. 배달 빨리 해주셨어요
5,2025.10.30,"코카콜라 ~ 
탄산은 포기 못하고 탄산수는 어려운 이들에게 적합한 코크 제로 ~~"
5,2025.10.29,역시 뭐니뭐니해도 빠른배송에 항상 잘시키고있습니다.
5,2025.10.23,저렴한 가격에 구입했습니다
5,2025.10.17,늘 주문해서 사용하는 제품입니다. 배송 감사합니다!
5,2025.10.10,자주 주문해서 활용하는 식음료입니다. 배송 감사합니다!
5,2025.09.26,주문하고 다음날 바로 받았어요.쿠폰행사가로 타사이트와 비교할 수 없는 저렴한 가격으로 구매했구요.
5,2023.12.20,"잘 받았습니다! 한동안 코크제로를 자주 먹다가 집에 놓는 음료를 다른걸로 갈아탔었는데, 역시 콜라가 있어야 웬만한 음식을 먹을 때 잘 어울려서(술 제외..) 구비해두려고 샀어요~ 저렴하게 구입해서 만족합니다."
5,2025.11.01,최고예요!
5,2025.09.29,중간사이즈 마시다 조금이나마 덜 마실라고 작은 사이즈로 …
5,2025.09.27,이벤트로 저렴하개 구매해ㅛ어요
5,2025.09.26,크기도 적당하니 즇아요
5,2025.09.10,"또사야지.
넘조아유
왕추천"
5,2025.09.02,빠른 배송 감사합니다.
5,2025.09.01,제품이 좋은 것 같습니다.
5,2025.09.01,whdkdy 좋아요 ~ ! ㅎㅎ
5,2025.08.29,코카코라 제로가 젤 나은듯!!
5,2025.08.28,제로콜라의 신세계를 느낄수 있는 제품입니다.  퀄리티 만점!!!
5,2025.08.28,역시나 맛나고 좋습니다. 재주문 두 번이나 했어요
5,2025.08.19,잘 받았습니다  가성비 있네요 굿
5,2025.08.16,좋아하는 제품을 저렴하게 잘 구매했습니다. 배송도 빨라요..
5,2025.08.13,저렴한 가격에 구입했습니다
5,2025.08.10,항상 잘 시켜먹고 있어요!
5,2025.08.09,빠른 배송 감사합니다!!
5,2025.07.24,찌그러진 캔 없이 온전히 잘 도착했어요. 감사합니다.
5,2025.07.23,제품이 좋은 것 같습니다.
5,2025.07.09,이 더운날 무조건 필수적인 콜라 제로
5,2025.07.09,날이 더워지니 종종 먹게되네요
5,2025.07.03,저렴한 가격에 구입했습니다
5,2025.06.02,"잘 구매했습니다.
배송도 만족하고, 제품상태도 만족합니다.
다음에도 재구매의사 있습니다~ 감사합니다."
5,2025.02.22,탕비실 인기상품! 너무 맛있어요.
5,2025.02.15,단골로 잘 마시는중 입니다. 코카제로는 사랑입니다
5,2025.01.06,사이즈가 한번에 딱 먹기 좋아요. 제로라 부담없이 마십니다.
5,2024.01.18,코크제로 잘 먹겠습니다. 배송 빨랐습니다.
5,2025.07.27,최고예요!
5,2025.06.18,항상 재구매하고있어요
5,2025.06.04,배송도 빠르고 안전하게 잘 받았어요! 구매하셔도 좋을 것 같습니다.
5,2025.05.31,믿고 사는 훌륭한 제품
5,2025.05.30,양많고 가격도 나쁘지 않아요
5,2025.05.16,꼼꼼하게 잘 포장되어 왔네요
5,2025.05.12,배송이 빨라요~ 항상 주문하는 상품이에요!
5,2025.05.04,작고 앙증맞고 맛있는 콜라를 남김없이 마실 수 있어 좋아요.
5,2025.04.17,자주 구매하고있어요~
5,2025.04.16,배송도 빠르고 좋아욤!
5,2025.04.10,"싼 가격, 좋은 품질, 빠른 배송"
5,2025.04.01,콜라는 제로콜라로 계속구매
4,2025.08.31,할인쿠폰 사용했습니다
4,2025.08.04,일할때. 사무실에서 잘 먹고 있습니다
5,2025.03.28,빠르고 꼼꼼하게 포장되어 배송됐습니다~
5,2025.03.19,소화안될때 용량이 적어서 먹기 좋아요~
5,2025.03.19,늘 구매하는 상품입니다. 배송이빨라요 만족합니다!
5,2025.03.19,늘 구매하는 상품입니다. 배송이빨라요 만족합니다!
5,2025.03.15,항상 애용하는 제품
5,2025.03.13,빠른배송 좋은품질 로켓배송이니뭐니하며 2만원 채워야하는 쿠팡보다 낫다
5,2025.03.13,제로라서 맘 편히 사요
5,2025.02.21,역시 근본 제품입니다. 좋아요
5,2025.02.15,저렴하게 잘 구매했어요!
5,2025.02.13,항상 즐겨 마시는 제로콜라. 사이즈도 적당하고 굿
5,2025.02.12,"배송도 빠르고 제품도 만족합니다.
재구매 의사 있습니다~!
빠른 배송 감사드립니다."
5,2025.02.11,늘 구매하는 제품입니다.
5,2025.02.10,"잘 받아보았습니다.
자주 주문하는 상품입니다.
재구매의사 있습니다!!
빠른배송 감사드립니다~!"
5,2025.01.20,단골 그자체 코카제로 영원히
5,2025.01.20,코카제로는 사랑입니다
5,2025.01.18,항상 이용하는 제품
5,2025.01.12,맛있어요 좋아요 자주애용합니다
5,2025.01.03,"사무실 간식으로 구입
좋아하는 사람만 좋아함"
5,2025.01.02,"최고의 품질, 빠른 배송, 가성비 good"
4,2025.06.15,저렴하게 구매했습니다
4,2025.03.12,"190mm용량이  적당한거 같습니다. 큰거 캔으로 먹을때 남길 때도 있었는데, 이 용량 제품은 남기질 않아서 좋습니다."
5,2024.12.31,한번에 먹기는 이 용량이 제일이에요
5,2024.12.28,늘 구매하는 제품입니다.
5,2024.12.27,포장이 꼼꼼하게 오고 배송도 빨라요 꾸준히 시켜먹고 있어요
5,2024.12.26,항상 세일할때 쟁겨요~
5,2024.12.24,전 별로인데 아이들이 좋아해서 자주 먹어요.
5,2024.12.18,배송 빠르고 가격도 괜찮아요
5,2024.12.10,양이 적어서 하나씩 먹기 좋아요
5,2024.12.06,"배송도 빠르고 만족합니다.
재구매의사 있습니다~!!"
5,2024.12.01,늘 구매하는 제품입니다.
5,2024.11.22,"빠른 배송, 최고의 품질, 꾸준한 구매, 쿠팡보다싸다"
5,2024.11.16,빠른 배송에 꼼꼼한 포장! 저렴하게 구매했습니다
5,2024.11.14,가성비 좋고 항상 주문합니다.
5,2024.11.13,"가성비 최고, 싸고 좋다. 빠른 배송"
5,2024.11.13,배송이 빨라요! 항상 구매하는 제품입니다~ 감사합니다.
5,2024.11.08,항상 구매하는 제품이예요.
5,2024.11.02,늘 구매하는 제품입니다.
5,2024.10.31,늘 준비해서 먹는 음료입니다
5,2024.10.30,항상 주문함 단골입니다
5,2024.10.28,사진이랑 동일하며 배송이 빠릅니다.
5,2024.10.24,"190ml가 한번에 먹기 딱 좋습니다.
역시 믿고 먹는 제콜"
5,2024.10.21,"코카콜라 제로 맛있어요
행사가로 득템했습니다"
5,2024.10.17,저렴하게 구매했습니다. 배송 감사합니다!
5,2024.10.17,배송이빨라요 자주 구매하는 상품입니다. 추천해요~
5,2024.10.16,[코카콜라직영]코카콜라 제로 190ml*30입
5,2024.10.14,배송도 빠르고 좋습니다^^
5,2024.10.11,항상 구비해 둡니다~~
5,2024.10.08,맛도 괜찮고 가격도 합리적이었습니다.
5,2024.10.05,양이 적당하고 좋아요
5,2024.10.05,맛잇고 배송이 빨라요
5,2024.10.02,배송 빠르고 만족합니다
5,2024.10.01,좋아요 잘 마시고 있어요
5,2024.09.08,제가 먹어 본 결과 일반 콜라와 제로 콜라의 맛을 차이가 없이 괜찮네요.  배송과 포장도 좋았구요
5,2024.04.09,"이전 구매했던 제로콜라는 포장이 이중이어서 탕비실 정리할 때 짜증났는데 포장이 하나여서 너무 간편하고 좋네요.
포장 신경쓰시는 분들은 비추에요. 하지만 전 아주 좋아요"
5,2024.04.05,늘 주문하는 제품입니다
5,2023.09.14,"배송안전하게 잘도착했어요~
쿠폰사용해서 저렴하게 구입해서 좋아요~
슈가 제로라서 부담없이 마실수있어요~"
3,2025.07.11,빠른 배송 좋아용!!
4,2025.03.31,빠르게 잘 받았습니다
4,2025.03.07,용량이 적어서 좋아요
4,2025.02.10,그래도 그냥 콜라보다는 나을거같아서 먹어욧
5,2024.09.28,뚱캔보다 양이 적어서 적당합니다.
5,2024.09.26,최고의 가성비 & 빠른 배송 만족
5,2024.09.15,늘 구매하는 제품입니다
5,2024.09.09,코크제로는 여기서만삼
5,2024.09.09,자주 구매하는 제품입니다. 배송이 빨라요
5,2024.09.09,자주 구매하는 제품입니다. 배송이 빨라요
5,2024.09.02,항상 구매하는 코카콜라 제로
5,2024.09.02,항상 주문하는 코카콜라 제로
5,2024.08.31,맛잇고 배송이빨라요
5,2024.08.27,좋아요 잘 마시고 있어요
5,2024.08.07,자주구매합니다. 가격이 합리적이에요.
5,2024.08.03,배송빠르구요~ 늘 구매하는 제품입니다.
5,2024.08.01,가성비 좋고 배송 빠르고 코크제로 단골
5,2024.07.30,배송 빨라서 애용합니다~~
5,2024.07.29,사무실 간식으로 딱이에요!
5,2024.07.29,가끔 제로콜라 마시고 싶을때가 있네요
5,2024.07.27,좋아요 자주 애용합니다
5,2024.07.23,좋아요 잘 마시고 있어요
5,2024.07.21,늘 잘먹습니다~ 감사합니다
5,2024.07.10,좋아요 자주애용합니다
5,2024.07.08,맛있어요 자주 구매합니다
5,2024.07.06,쟁겼어요~~ 콜라는 코카콜라
5,2024.07.01,한번에 마시기에 적당해서 좋아요.
5,2024.03.10,애들이 제로만 먹어서 1인 1캔 딱 좋아요
5,2024.01.11,배송 빠르고 튼튼하게 잘 왔어요 작은 캔이라 한번에 먹기 좋아요
5,2024.06.20,배송도 빠르고 맛있습니다
5,2024.06.08,자주 구매해요 맛있어요
5,2024.05.31,빠른 배송 싼가격 대만족
5,2024.05.29,늘 시키던것 빠른배송 감사해요
5,2024.05.29,저렴한 가격 빠른 배송 만족
5,2024.05.28,"저렴하게구매했어요
포장도좋고 배송도 빠릅니다"
5,2024.05.28,좋아요 잘 마시고 있어요
5,2024.05.26,배송도빠르고 맛있게 잘 먹었어요 ❤
5,2024.05.18,애들이 좋아해서 자주먹어요
5,2024.05.16,항상 구매하는 제품입니다 만족합니다
5,2024.05.14,"사무실간식으로 시켰습니다. 맛있어요, 좋아요"
5,2024.05.10,항상 주문하는 상품입니다
5,2024.05.07,가끔 주문하는 제품입니다
5,2024.05.01,맛있게 잘 먹었어요.
5,2024.05.01,제로 콜라인데 약간 달아요
5,2024.04.26,배송빠르구요~ 늘 구매하는 제품입니다.
5,2024.04.26,배송빠르고 맛도 좋아요
5,2024.04.26,빨리오고 맛도좋아요
5,2024.04.23,귀여운 사이즈 자주 구매 중
5,2024.04.22,최고의 상품 빠른 배송 만족만족
5,2024.04.19,좋아요 자주애용합니다
5,2024.04.16,좋아요 싸게 잘샀어요
5,2024.04.16,항상 구매하는 제품입니다 만족합니다
5,2024.04.12,떨어지면 안돼는 제로콜라
5,2024.04.05,포장이 아주 좋습니다
5,2024.04.01,사이즈가 한번에 먹기 부담없어요ㅎ
5,2023.12.20,적은 용량이라 좋아요.
5,2023.11.30,늘 주문하는 제품입니다 ~^^
5,2023.11.18,매번 이용하는제품입니다
5,2023.11.04,배송빠르고 저렴하게 구입했어요^^
5,2023.10.17,잘 받았어요 펩시에서 다시 돌고돌아 코크제로 ..
3,2025.03.21,빠른 배송 감사합니다 ~~~
3,2025.01.16,넉넉한 수량이 마음에 듭니다.
4,2024.07.05,네이버보다 쪼금 비싸지만 카드할인 받고 샀어요!
5,2024.05.16,최고예요!
5,2024.03.30,제품이 좋은 것 같습니다.
5,2024.03.27,잘받았어요 저렴한가격에 잘구매했어요
5,2024.03.24,역시 좋아요 배송도 완전 빠름 ^^
5,2024.03.19,코크는 제로죠 역시
5,2024.03.19,항상 애용하는 상품 좋아요
5,2024.03.17,저렴하게 잘 샀어요. 재구매 여기서.
5,2024.03.14,좋아요 늘구매하는 제품입니다
5,2024.03.13,최상이었고 가격도 비교불문입니다.
5,2024.03.10,제로 콜라는 없어서는 안 되는 생활의 필수템
5,2024.03.10,항상먹는거에요감사합니다
5,2024.03.08,감사히 잘 먹겠습니다! 빠른배송 넘 좋아요
5,2024.03.07,늘 구매하는 제품입니다. 배송 빠르네요~
5,2024.03.06,생각이상 맛ㅇ있어요 만족
5,2024.03.06,좋은 상품 감사합니다.
5,2024.03.05,좋은제품감사드립니다
5,2024.03.04,아주 마니 사고 조아요 진자로요
5,2024.02.29,좋아요 자주애용합니다
5,2024.02.29,유통기한 넉넉해요.
5,2024.02.28,한번에 먹기 좋은 사이즈인것 같아요.
5,2024.02.22,아주아주 만족합니다
5,2024.02.22,사이즈 적당해서 자주 구매
5,2024.02.19,하루만에 빠른배송으로 왔어요!
5,2024.02.16,"한 번에 마시기 딱 좋은 양입니다.
콜라는 두말없이 코카콜라!"
5,2024.02.16,빠른 배송 감사드립니다.
5,2024.02.15,좋아요 잘 마시고 있어요
5,2024.02.14,속 탈 때 마시기 좋아요. 사무실 사람들한테 인기가 많네요
5,2024.02.13,빠른배송 감사합니다.
5,2024.02.13,빠른배송 감사합니다.
5,2024.02.13,빠른배송 감사합니다..
5,2024.02.13,빠른배송 감사합니다.
5,2024.02.12,제로 코카콜라 맛있어요
5,2024.02.11,제로콜라 맛있어요ㅎ
5,2024.02.08,제로콜라라서 충치걱정없어서 좋아요. 칼로리도 없어서 좋고.
5,2024.02.08,늘 구매하는 상품이예요. 싸게 사서 좋아요
5,2024.02.07,향상 구매하는 제품입니다 만족합니다
5,2024.02.04,제로콜라  항상 구매합니다
5,2024.02.04,항상 구매하는 제품입니다 만족합니다
5,2024.02.02,콜라는 역시 코카콜라죠 앗있어요
5,2024.02.02,"좋은상품 저렴하게 구입 했네요~
강추입니다."
5,2024.02.01,집앞까지오니 편해요 맛잇어요
5,2024.02.01,저렴하게 잘 샀어요 혼자 마시기 딱 좋은 사이즈
5,2024.02.01,사무실 간식용으로 구매했어요~
5,2024.01.31,매번 사먹는 제품입니다
5,2024.01.31,배송 상품 만족합니다
5,2024.01.30,항상 구매하는 제품입니다 만족합니다
5,2024.01.29,배송 빠르고 좋아요
5,2024.01.28,맛있어요. SSG은 배송이 잘되서 너무 좋아요~잘먹을게요
5,2024.01.28,맛있어요. SSG은 배송이 잘되서 너무 좋아요~잘먹을게요
5,2024.01.28,맛있어요. SSG은 배송이 잘되서 너무 좋아요~잘먹을게요
5,2024.01.26,[본사직영] 코크제로 190캔 30입
5,2024.01.24,배송시. 제품에 비닐포장 한겹입니다.포장 파손은 없어 다행입니다
5,2024.01.23,배송도 빠르고 제품도 만족합니다.
5,2024.01.22,항상즐겨마시는음료입니다.착한가격에득템함.
5,2024.01.22,항상쟁겨두고마시는음료입니다.착한가격에만족합니다.
5,2024.01.22,작은 크기라 한번에 먹기 딱 좋아요
5,2024.01.22,맛있어요 배송이 빨라요
5,2024.01.22,제로콜라라 자주구매해요
5,2024.01.21,제로코크 일부러 소용량으로 구입했어요. 190이라 한번 마시면 딱 좋아요.
5,2024.01.19,배달이 빠르고 괜찮았어요!
