rating,date,content
5,2024.01.18,찌그러진거 없이 잘왔어요
5,2024.01.15,배송 빠르고 맛있어요
5,2024.01.13,항상 구매하는 제품입니다 만족합니다
5,2024.01.13,항상 구매하는 제품입니다 만족합니다
5,2024.01.13,항상 구매하는 제품입니다 만족합니다
5,2024.01.13,항상 구매하는 제품입니다 만족합니다
5,2024.01.10,자주 구매하는 제품입니다
5,2024.01.09,용량이 적은 사이즈라 쟁여놓구 먹어요^^
5,2024.01.09,잘먹었습니다 ㅎㅎ ^^
5,2024.01.07,저렴한 가격에 굿입니당
5,2024.01.06,"항상 먹는 제로콜라
싸이즈가 작아 먹기 좋아요"
5,2024.01.06,이런 행사 자주ᆞ해ㅈㄷᆞ셍ᆞㄴㄷ
5,2024.01.02,맛잇어요 맛잇어요 맛잇어요
5,2024.01.02,"맛잇어요
늘구매해요
좋아요"
5,2024.01.01,쿠폰써서 저렴하게 구매했어요
5,2024.01.01,맛있게 잘 먹었어요
5,2024.01.01,잘 받았습니다 최고에요!
5,2023.11.24,"제로중 코카콜라가 젤 입맛에  맞아요~
좋은 가격에  구입하고  집앞까지  무거운데 배송도~
감사합니다~~"
5,2023.11.21,"이번에  행사해서  아주 저렴하게 구매했습니다
늘 쟁여놓고 마시는 상품이니 세일할때 사면 좋겠지요   타회사  제로콜라보다  맛있습니다"
5,2023.09.22,늘 주문하는 제품입니다 ~^^
5,2023.09.19,"아빠께 사드렸어요
잘 드시고 계시다고 해요
전 오리지널이 좋구요"
5,2023.08.28,잘 구매해서 먹고있어요 좋아요~
5,2023.08.23,남편이 좋아하는 콜라 칼로리 제로
5,2023.08.22,저렴하게 잘 삿어요
5,2023.07.19,와 싸게사서 기분좋아요 재구매할께요
5,2023.07.07,찌그러진 곳 없이 다 좋았어요~
3,2024.12.10,좋은 가격으로 덕분에 맛잇게 마셨습니다.
3,2024.10.31,"190사이즈, 양이 딱 맘에 듭니다."
5,2023.12.26,코카콜라 제로 좋아요
5,2023.12.25,포장이너무허술해요.비닐이약해요
5,2023.12.22,좋아서 늘 구매합니다.
5,2023.12.22,좋아서 늘 구매합니다.
5,2023.12.20,콜라는 제로콜라죠 최고
5,2023.12.19,평소 제로 콜라를 자주 마시는데 저렴하게 사서 좋네요^^
5,2023.12.19,사이즈가 더 작은 것도 있으면 좋겠어요.
5,2023.12.18,맛있어요 배송이 빨라요
5,2023.12.18,항상 구매하는 제품입니다. 배송이 빨랐어요~
5,2023.12.17,좋아요좋아요 항 상 재구매해요
5,2023.12.15,가성비 좋고 맛있습니다 코크제로
5,2023.12.14,배송잘받았습니다 감사합니다
5,2023.12.14,항상 시키는 제품입니다 조아요
5,2023.12.13,코카콜라 제로 아주 맛있습니다
5,2023.12.13,만족 합니다 이번에 다시 재구매합니다
5,2023.12.12,배송 빨라서 좋아요
5,2023.12.10,좋습니다 만족합니다
5,2023.12.08,잘받아서 사용하고 있습니다.
5,2023.12.08,잘받아서 사용하고 있습니다.
5,2023.12.07,배송 빠르고 좋아요 많이 파세요
5,2023.12.05,자주구매합니나 좋습니다
5,2023.12.03,장볼 때마다 항상 구입합니다.
5,2023.12.02,적당한 양에 끊을 수 없는
5,2023.12.01,항상 구매하고 있습니다
5,2023.12.01,맛있고 꼼꼼한 포장 추천합니다
5,2023.11.30,매우 만족합니다. 잘 먹고 있어요
5,2023.11.28,맛잇어요 맛잇어요 맛잇어요
5,2023.11.27,아이들이좋아해서 자주이용해요
5,2023.11.25,한번 마시기 딱좋아요
5,2023.11.23,배송 빠르고 제품 좋네요 강추입니다
5,2023.11.23,맛있어요 배송이 빨라서 좋아요
5,2023.11.23,사이즈 아담해서 ㅎ 남기지 않고 먹기 조아용ㅇ
5,2023.11.21,좋아요 항상 구매하고 있어요
5,2023.11.20,행사해서 너무 잘사서 잘먹고 있어요~
5,2023.11.20,배송 잘 도착했습니다
5,2023.11.19,싼가격에 득템하였습니다. 그런데 포장상태가 영 엉망입니다.
5,2023.11.19,빠른배송 감사합니다
5,2023.11.19,빠른배송 감사합니다
5,2023.11.19,빠른배송 감사합니다
5,2023.11.19,빠른배송 감사합니다
5,2023.11.18,저렴하게 잘 구매했습니다!!
5,2023.11.17,"아주 좋아요
만족하면서 마시고 있어요"
5,2023.11.16,저렴하게 구메잘했습니다
5,2023.11.16,저렴하게 구매했어요 감사합니다
5,2023.11.13,배송도빠르고 저렴하게 구매했어요 감사합니다
5,2023.11.09,저렴하게 구입했어요.
5,2023.11.09,간식으로 먹기 참 좋아요 ~
5,2023.11.09,"좋아요
매번구매해요
좋아요
매번구매해요"
5,2023.11.09,코카콜라 제로 간단하고 저렴하게 구입해서 좋아요
5,2023.11.07,행사로 싸게 샀어요
5,2023.11.02,맛있어요 배송이 빠르고 좋아요
5,2023.10.31,두번 재구매 했는데 양이 살짝 모자르지만 좋습니다
5,2023.10.31,항상 구매하는 제품입니다 만족합니다
5,2023.10.31,항상 구매하는 제품입니다 만족합니다
5,2023.10.31,항상 구매하는 제품입니다 만족합니다
5,2023.10.26,가성비 최고 재구매할거임
5,2023.10.25,좋아요 만족해요..
5,2023.10.24,"좋아요^^
가격도 저렴해요"
5,2023.10.23,안전하게 택배로 받았어요.
5,2023.10.21,저렴하게 구매했어요 용량이 적어서 좋아요
5,2023.10.19,맛있어요. 배송이 빠르고 좋아요.
5,2023.10.17,너무 좋아요! 항상 자주 애용합니다 :)
5,2023.10.16,한번 먹기 좋은 용량. 제로 좋음
5,2023.10.16,편하게 쟁여놓구 먹구 있습니다..
5,2023.10.14,역세 제로콜라 맛있어요
5,2023.10.14,늘 구매하는 제품입니다.
5,2023.10.12,코크제로  언제나 좋아요 사무실에 인기음료에요
5,2023.10.12,사용하기 편해서 좋네요
5,2023.10.12,할인하길래 얼른 쟁여둡니다
5,2023.10.08,제로콜라 좋아해서 자주 구매해요.190ml라 양 적어서 좋아요~
5,2023.10.06,찌그러짐 없이 잘 도착했습니다
5,2023.10.06,맛잇어요 맛잇어요 맛잇어요
5,2023.10.06,늘 구매하고있어요~ 맛있고 좋아요!
5,2023.10.06,사이즈가 회사에서 먹기 적당해요
5,2023.10.06,가격 저렴하고 양도 적당해서 구입했어요
5,2023.10.02,집에 항상 쟁여두는 제로콜라
5,2023.06.04,코카콜라 매장보다 더 싸다는 게 아이러니네요. 지금까지 코카콜라몰이 더 싸다고 생각하고 월 2회정도 산 거같은데.. 헉스... 앞으로는 나의 사랑 쓱에서 구입해야징.. 싸게 팔아주셔서 감사해요... 랄라라~~
3,2024.08.08,190사이즈가 좋아서 계속 주문하고 있습니다.
3,2024.07.14,맛있어야 하는데 맛있어 ㅋㅋ ㅋㅋ ㅋㅋㅋ
3,2024.07.02,간식으로 먹기에 좋아요.
4,2024.03.29,사무실에서 애용 중입니다
4,2024.01.22,아웃박스에 포장해주심 좋을거 같네요
4,2024.01.15,좀 달기는헌데 괜찮아요 먹을만 합니다
5,2023.09.30,할인해서 저렴하게 구입했어요! 상품도 좋아요
5,2023.09.30,편리한 장보기로 자주이용
5,2023.09.29,"행사때 샀어요
제로라 좋아요"
5,2023.09.28,배송 빠르고 싸게 구입햇어요
5,2023.09.27,배송도 빠르고 좋아요
5,2023.09.25,맛있게 잘 먹었습니다. 감사합니다.
5,2023.09.24,항상 구매하는 제품입니다 만족합니다
5,2023.09.22,"좋은 상품 잘 구매했습니다.
감사합니다."
5,2023.09.20,좋은상품 감사합니다~!
5,2023.09.20,집에서 가끔 한잔씩먹기에 사이즈가 좋아요
5,2023.09.18,빠른배송에 매우 만족합니다.
5,2023.09.17,코카콜라 제로만 먹게되네요. 탄산도 좋습니다
5,2023.09.17,빠른 배송 감사합니다.
5,2023.09.16,제로콜라 아주조아요
5,2023.09.14,여윽시 제로죠 !! 기본보단 심심한맛이에요
5,2023.09.11,매번 사먹는 제로코그 좋아요
5,2023.09.10,좋은상품 감사합니다~!
5,2023.09.10,좋은상품 감사합니다~!
5,2023.09.10,넘모 맛있게 먹었습니다ㅂ
5,2023.09.07,너무 크지도 작지도 않은용량으로 한번 먹기 좋은용량입니다.
5,2023.09.07,늘 애용하는 제품입니다
5,2023.09.06,착한가격..빠른배송..굿입니다..
5,2023.09.06,콜라는 뭐.. 말해 뭐합니까 맛있죠 뭐
5,2023.09.04,맛있게 잘 먹었어요.
5,2023.09.04,좋습니다 만족합니다
5,2023.09.03,배송이 빠르고 포장도 꼼꼼합니다
5,2023.09.03,용량이 작아서 한번에 마시기 좋아요
5,2023.09.03,파손없는 배송. 대만족
5,2023.09.01,쓱배송 때마다 항상 구입합니다.
5,2023.09.01,콜라 진짜 저렴해요 추천
5,2023.08.29,항상 구매하는 제품입니다 만족합니다
5,2023.08.29,항상 구매하는 제품입니다 만족합니다
5,2023.08.29,맛있습니다 다음에 다시 구매할께요
5,2023.08.29,늘 구매하는 제품입니다.
5,2023.08.28,작은 사이즈라 남김없이 먹기 좋아요.
5,2023.08.26,저렴하게 머코 있어요
5,2023.08.25,배송 빠르고 상품 하자 없이 잘 도착했습니다 강추 :)
5,2023.08.24,배송이 빨라서 좋았습니다.
5,2023.08.24,"늘 좋은가격으로 구매해요
늘 좋습니다.늘 좋은가격으로 구매해요
늘 좋습니다."
5,2023.08.23,항상집에구비하여마시는음료입니다.행사가격에득템함.
5,2023.08.23,가족모임에 조카들 까까로 구매 했어요
5,2023.08.20,행사로 저렴하게 구입해서 만족
5,2023.08.17,배송도 빠르고 좋아요
5,2023.08.16,좋은 상품 구매해서 만족스럽습니다!^^
5,2023.08.15,그냥 콜라하고는 톡 쏘는 맛이 다르지만 제로콜라도 요즘은 맛있어요
5,2023.08.15,잘마싯게먹엇습니다 저렴
5,2023.08.11,빠른배송감사합니다.
5,2023.08.10,콜라 제로라 그냥 편하게 먹기 좋아요
5,2023.08.09,배송도 빠르고 좋아요
5,2023.08.07,좋은물건 감사합니다 많이 파세요
5,2023.08.07,항상 간식으로 주문하는 제품입니다. 맛있고 좋아요
5,2023.08.07,맛있어서 자주 시켜먹어요
5,2023.08.07,맛있어서 자주 시켜먹어요
5,2023.08.06,배송 빠르게 잘 왔어요 ! 감사합니다
5,2023.08.06,포장상태 좋고 제품상태도 좋습니다.
5,2023.08.04,늘 구매하는 제품입니다.
5,2023.08.03,직원들이 좋아해요 잘 먹을게요~
5,2023.08.02,잘 받았어요 ㅎㅎ 감사해요
5,2023.08.02,사무실간식으로 두고 먹기 좋아요
5,2023.08.02,빠른배송감사합니다.
5,2023.08.01,항상 애용하는 제품입니다
5,2023.08.01,양이 넉넉하게 들어있어서 좋아요
5,2023.07.29,코카콜라 맛있습니다 제로제로 좋아요
5,2023.07.28,매일 시키는 거에요 맛잇습니당 !
5,2023.07.22,늘 사는 코크제로~~~
5,2023.07.18,항상 구매하는 제품입니다.
5,2023.07.18,빠른배송 및 제품상태 양호 합니다.
5,2023.07.17,"맛나요
좋아요
또살게요"
5,2023.07.15,"좋아요~
맛있어요~
재구매합니다~!!"
5,2023.07.15,항상다사구매해서 마시고있어요좋아요
5,2023.07.13,배송 빠르고 좋습니다.
5,2023.07.12,제로코라 맛있네요 !
5,2023.07.11,콜라 너무 좋아요 사이즈도 딱 좋아요
5,2023.07.07,"맛있고, 포장도 잘 되어왔어요"
5,2023.07.06,콜라는 역시 코카콜라입니다.
5,2023.07.05,배송이 편해서 좋아요
5,2023.07.05,제로 조아욯 항상 구매했어요 감사합니다
5,2023.07.04,좋은제품 빠른배송 만족해요 감사합니다^^
5,2023.07.03,직원들이 제로에 미쳐서...코카콜라 제로만 마셔요ㅎ
5,2023.07.03,"늘구매해요
잘먹어요
좋아요"
5,2023.07.02,맛있어요 간식으로 먹기 좋아요
5,2023.07.02,빠른배송 감사합니다
5,2023.03.18,항상 구매해요 맛잇습니다
5,2023.03.07,콜라는 코카콜라지요
2,2024.12.03,사고 나니 반값 세일해서 속상하네요
4,2023.12.22,사무실에서 애용하고 있습니다
4,2023.11.07,맛있게 잘 먹었습니다.
4,2023.10.19,코카제로 제일 싸게 구입함
5,2023.06.29,좋아요 좋아요 좋아요
5,2023.06.28,직원들이 좋아해요 ~ 포장도 굿 맛도 굿
5,2023.06.27,자주구매해요 맘에들어요
5,2023.06.27,좋아요 저렴하게 잘샀어요
5,2023.06.26,간식으로 먹기 좋아요 맛있어요
5,2023.06.21,"제로콜라 항상이용하는  음료에요
맛나요 좋아요"
5,2023.06.20,늘 먹는 제로콜라입니다
5,2023.06.20,맛있어서 자주 시켜먹어요 아이들이 좋아해요
5,2023.06.20,늘 구매하는 제품입니다.
5,2023.06.20,맛이 좋아요 잘먹을게요
5,2023.06.17,저렴한가격에 구매했어요.  감사합니다.
5,2023.06.14,용량적당하니 좋습니다.
5,2023.06.12,제로라 몸에 덜 해로운 맛입니다
5,2023.06.09,사이즈가 작아 좋아요.
5,2023.06.08,만족합니다 배송도 빠르고 상태도 깨끗하고 좋습니다 재구매할려구요
5,2023.06.06,굿굿 너무 맛있어요ㅎ
5,2023.06.03,빠른 배송 감사합니다
5,2023.06.03,굿굿굿!! 아주 빠르게 파손없이 배송 감사합니다.
5,2023.06.02,콜라도 슥에서 구매 가격도 좋으네요
5,2023.06.02,"쓱배송에서 너무 자주품절되어서
직영몰에서 구매"
5,2023.06.01,자주 주문하는 제품입니다..
5,2023.05.31,"다른 사이트보다  저렴하게  잘샀네요
제로 콜라는 코카콜라가 맛있어요"
5,2023.05.30,플라스틱 덜 쓰기 위해서 캔 제품으로~
5,2023.05.27,배송 빠르구요~ 늘 구매하는 제품입니다.
5,2023.05.26,"회사에서 먹을 간식 구입했는데 좋아요 ~~ 
잘 먹고 있습니다 ."
5,2023.05.26,항상 구매하는 제품입니다.
5,2023.05.26,집에꼭쟁여두게되내요
5,2023.05.22,직원들이 제로에 빠져서 제로코크만 먹고있습니다.
5,2023.05.21,항상 구매하는 제품입니다 만족
5,2023.05.21,항상 구매하는 제품입니다 만족
5,2023.05.19,좋아요 강추합니다.^^
5,2023.05.19,저렴하게 잘 구매했어요
5,2023.05.17,당이 없어 좋고 탄산이 시원합니다
5,2023.05.16,정말 좋아하는 제품이에요. 자주삽니다.
5,2023.05.15,매번 구매하는 제품입니다~!
5,2023.05.15,매번 구매하는 제품입니다~!
5,2023.05.13,콜라좋아하는 아들위해 제로콜라로
5,2023.05.09,"좋아요
늘구매해요좋아요
늘구매해요좋아요
늘구매해요좋아요
늘구매해요좋아요
늘구매해요"
5,2023.05.08,처음 구매해 봅니다. 좋습니다.
5,2023.05.05,만족합니다 재구매할래요
5,2023.05.04,장볼때마다 항상 구입합니다
5,2023.05.03,아들이 좋아하는 제로콜라!
5,2023.05.03,항상구매하고 있습니다
5,2023.05.02,자주구매하는제품입니다 만족해여
5,2023.04.29,사무실 간식용으로 구입해요
5,2023.04.27,좋은가격에 잘삿어요
5,2023.04.27,매번 사먹는 제로코크는 사랑입니다.
5,2023.04.18,배송 빠르구요~ 늘 구매하는 제품입니다.
4,2023.04.17,제로라서 그런지  박카스 맛이 나요
5,2023.04.17,배송도 빠르고 좋아요.
5,2023.04.17,배송도 빠르고 넘 조어요
5,2023.04.16,콜라는 제로콜라가 좋지요. 게다가 저렴하게 샀네요
5,2023.04.15,"부모님께서 좋아하셔서 샀어요
배송도 무척 빨라요~"
5,2023.04.08,"적당한사이즈네요
좋습니다~"
5,2023.04.07,짱좋아요 짱좋아요 짱좋아요
5,2023.04.06,항상구매하고 있습니다
5,2023.04.06,빠른배송 감사합니다.
5,2023.04.05,사이즈 적당하고 래귤러와 맛도 비슷
5,2023.04.04,좋아요 네이버에서사다가 쓱이더 싸서 여기서 사봤어요
5,2023.04.04,만족 합니다. 잘 먹었어요~
