title,source,text
김애란_작가정보,namuwiki_refined,"김애란은 1980년 인천에서 태어나 서산에서 성장했으며 한국예술종합학교 극작과를 졸업했다."
김애란_등단,namuwiki_refined,"단편 노크하지 않는 집으로 대산대학문학상을 수상하며 문단에 데뷔했다."
김애란_문체,namuwiki_refined,"김애란 소설은 일상과 감정을 섬세하게 포착하는 문체로 평가받는다."
김애란_특징,namuwiki_refined,"가족 관계와 인간의 감정을 주요 소재로 삼는 경우가 많다."
달려라_아비,namuwiki_refined,"달려라 아비는 일상의 풍경과 가족의 모습을 중심으로 구성된 단편집이다."
달려라_아비_특징,namuwiki_refined,"담담한 문체를 통해 인물들의 감정을 절제되게 표현한다."
침이_고인다,namuwiki_refined,"침이 고인다는 생활감 있는 소재를 바탕으로 인간관계를 묘사한 작품집이다."
침이_고인다_평가,namuwiki_refined,"일상의 작은 사건을 통해 감정의 변화를 세밀하게 그린다."
두근두근_내_인생,namuwiki_refined,"두근두근 내 인생은 가족의 사랑과 희생을 다룬 장편소설이다."
두근두근_영화화,namuwiki_refined,"이 작품은 영화로 제작되어 대중적으로도 큰 인기를 얻었다."
비행운,namuwiki_refined,"비행운은 감정의 미묘한 결을 섬세하게 묘사한 단편집이다."
비행운_평가,namuwiki_refined,"인물의 내면을 중심으로 서사가 전개된다."
바깥은_여름,namuwiki_refined,"바깥은 여름은 상실 이후의 삶과 회복을 주제로 한 소설집이다."
바깥은_여름_특징,namuwiki_refined,"여러 단편을 통해 다양한 인간관계를 보여준다."
잊기_좋은_이름,namuwiki_refined,"잊기 좋은 이름은 작가의 생각과 일상을 담은 산문집이다."
산문_특징,namuwiki_refined,"일상적인 경험을 솔직하고 담백하게 풀어낸다."
수상_요약,namuwiki_refined,"김애란은 여러 문학상을 수상하며 작품성을 인정받았다."
이상문학상,namuwiki_refined,"침묵의 미래로 이상문학상 대상을 수상했다."
문학적_평가,namuwiki_refined,"섬세한 감수성과 절제된 문체로 높은 평가를 받는다."
최근작,namuwiki_refined,"이중 하나는 거짓말은 최근 발표된 장편소설이다."